               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.035793,            0.042672,           0.0062842,             0.46168,             0.41376,             0.36886,             0.19897,            0.039607,            0.037552,             0.01242,            0.008185,            0.008185,            0.008185
                  57,             0.03603,            0.041979,           0.0063958,             0.59854,             0.35278,             0.33716,             0.18804,            0.040217,             0.03923,            0.010864,            0.008152,            0.008152,            0.008152
                  58,             0.03512,            0.042393,           0.0064848,             0.42208,             0.45519,             0.35962,             0.20755,            0.039757,            0.040319,            0.010985,            0.008119,            0.008119,            0.008119
                  59,            0.035687,            0.041975,           0.0064649,             0.51764,             0.31294,             0.34635,             0.19199,             0.03999,            0.041179,            0.012002,            0.008086,            0.008086,            0.008086
                  60,            0.035242,            0.042206,           0.0062058,             0.52164,             0.30417,              0.3557,               0.194,            0.041053,            0.041237,            0.010291,            0.008053,            0.008053,            0.008053
                  61,            0.035897,            0.043765,           0.0060394,             0.51975,              0.3037,             0.32674,             0.18005,            0.041749,            0.042499,            0.012543,             0.00802,             0.00802,             0.00802
                  62,            0.036087,            0.043087,            0.005919,             0.49541,             0.33019,             0.32948,             0.18651,            0.040393,            0.042138,            0.011452,            0.007987,            0.007987,            0.007987
                  63,            0.035116,            0.042912,            0.005663,             0.49841,             0.33486,             0.35199,             0.20083,            0.041263,            0.041146,            0.012476,            0.007954,            0.007954,            0.007954
                  64,            0.034815,            0.039719,           0.0060677,             0.42518,             0.48336,             0.44554,             0.26099,            0.041555,            0.040626,            0.013408,            0.007921,            0.007921,            0.007921
                  65,            0.035084,            0.041883,           0.0060893,              0.5256,              0.4623,             0.37944,              0.2039,            0.041228,            0.041579,            0.010411,            0.007888,            0.007888,            0.007888
                  66,            0.034622,             0.04067,           0.0058539,             0.51855,             0.32434,             0.36614,             0.20803,            0.040167,            0.039596,            0.010058,            0.007855,            0.007855,            0.007855
                  67,            0.034602,            0.040704,           0.0055475,             0.49111,             0.32134,             0.33999,             0.20042,            0.041341,            0.040189,            0.010453,            0.007822,            0.007822,            0.007822
                  68,            0.034972,            0.041935,           0.0056032,             0.50086,             0.33124,             0.36502,             0.20262,            0.040957,            0.040629,            0.010846,            0.007789,            0.007789,            0.007789
                  69,            0.034721,            0.040282,           0.0058397,             0.51497,             0.31085,             0.34858,              0.1911,            0.039927,            0.040293,            0.018033,            0.007756,            0.007756,            0.007756
                  70,            0.034871,            0.040636,            0.005473,             0.32323,             0.38288,             0.32985,             0.18233,             0.04044,            0.041255,            0.011395,            0.007723,            0.007723,            0.007723
                  71,            0.034406,            0.042244,            0.005399,             0.54962,             0.32077,             0.34738,             0.20214,            0.040902,             0.04073,            0.011023,             0.00769,             0.00769,             0.00769
                  72,            0.034602,            0.041171,           0.0056379,             0.51834,             0.34368,             0.33502,             0.18716,            0.040563,            0.041933,            0.015292,            0.007657,            0.007657,            0.007657
                  73,            0.034221,            0.039812,           0.0055372,             0.51098,             0.34228,              0.3404,             0.19144,             0.04018,            0.040292,            0.018371,            0.007624,            0.007624,            0.007624
                  74,            0.034534,            0.038756,           0.0056857,             0.45524,             0.43492,             0.34009,             0.19072,            0.040731,            0.041513,            0.015972,            0.007591,            0.007591,            0.007591
                  75,            0.033952,            0.039427,             0.00532,             0.62985,             0.30918,             0.34069,             0.19201,            0.039801,            0.040732,            0.015142,            0.007558,            0.007558,            0.007558
                  76,            0.033754,            0.040035,            0.005445,             0.42928,             0.35657,             0.33456,             0.18817,            0.039693,            0.039876,            0.015394,            0.007525,            0.007525,            0.007525
